,ticker,forecast_horizon,indicator,parameter,metric,value
70,AAPL,1,bbands,30,below_bb_lowerband_p-value,0.0004496671243726447
71,AAPL,2,general,NA,bullish_pct,0.5852326238462987
72,AAPL,2,general,NA,long_pct,0.2134111885477491
73,AAPL,2,general,NA,short_pct,0.17159540403089094
74,AAPL,2,general,NA,mean_returns,0.25170936045734854
75,AAPL,2,general,NA,volatility,3.3249753878279904
76,AAPL,2,general,NA,mean_volume,436151050.932379
77,AAPL,2,general,NA,trend_p-value,2.0719335950135413e-14
78,AAPL,2,general,NA,position_p-value,0.3200370443581305
79,AAPL,2,sma,14,above_sma_pct,0.5923902806554907
80,AAPL,2,sma,14,above_sma_bullish_pct,0.5818759936406995
81,AAPL,2,sma,14,below_sma_bullish_pct,0.588724584103512
82,AAPL,2,sma,14,sma_p-value,0.29398537832861593
83,AAPL,2,sma,20,above_sma_pct,0.6044452815972876
84,AAPL,2,sma,20,above_sma_bullish_pct,0.588033655344344
85,AAPL,2,sma,20,below_sma_bullish_pct,0.5795238095238096
86,AAPL,2,sma,20,sma_p-value,0.22000039806153382
87,AAPL,2,sma,50,above_sma_pct,0.6554906762102091
88,AAPL,2,sma,50,above_sma_bullish_pct,0.585632183908046
89,AAPL,2,sma,50,below_sma_bullish_pct,0.5828321487151449
90,AAPL,2,sma,50,sma_p-value,0.28636508475439504
91,AAPL,2,sma,100,above_sma_pct,0.6952345074401959
92,AAPL,2,sma,100,above_sma_bullish_pct,0.5852072609049038
93,AAPL,2,sma,100,below_sma_bullish_pct,0.5834363411619283
94,AAPL,2,sma,100,sma_p-value,0.16176281683969768
95,AAPL,2,rsi,14,overbought_pct,0.14070446411753626
96,AAPL,2,rsi,14,overbought_bullish_pct,0.6171352074966533
97,AAPL,2,rsi,14,oversold_pct,0.025616877001318514
98,AAPL,2,rsi,14,oversold_bullish_pct,0.5588235294117647
99,AAPL,2,rsi,14,trend_change_accuracy,0.46494464944649444
100,AAPL,2,rsi,14,overbought_p-value,0.06646553348114655
101,AAPL,2,rsi,14,oversold_p-value,0.24380041053677354
102,AAPL,2,rsi,28,overbought_pct,0.05989828592955359
103,AAPL,2,rsi,28,overbought_bullish_pct,0.610062893081761
104,AAPL,2,rsi,28,oversold_pct,0.0016952345074401959
105,AAPL,2,rsi,28,oversold_bullish_pct,0.3333333333333333
106,AAPL,2,rsi,28,trend_change_accuracy,0.45454545454545453
107,AAPL,2,rsi,28,overbought_p-value,0.17483073052269105
108,AAPL,2,rsi,28,oversold_p-value,
109,AAPL,2,rsi,42,overbought_pct,0.036541721604822
110,AAPL,2,rsi,42,overbought_bullish_pct,0.6030927835051546
111,AAPL,2,rsi,42,oversold_pct,0.0
112,AAPL,2,rsi,42,oversold_bullish_pct,
113,AAPL,2,rsi,42,trend_change_accuracy,0.5272727272727272
114,AAPL,2,rsi,42,overbought_p-value,0.4407257828339039
115,AAPL,2,rsi,42,oversold_p-value,
116,AAPL,2,macd,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",pro-trend_buy_bullish_pct,0.6015957446808511
