Date,close,volume,returns,bullish,position,future_close,future_returns,future_bullish,future_position,smad_10,smad_20,rsi_14,rsi_28,bbd,ppo,adx,nvi
2010-02-11,86.62,223591600,1.0381430071153552,1,1,89.04,2.7938120526437293,1,1,0.2987425024894827,-1.433773327264473,46.16087999327914,44.23243712055508,-0.28591738637791386,-2.4472593960570173,38.30937341090642,1.6397260126701354
2010-02-12,86.55,304622100,-0.08081274532441007,0,2,89.05,2.888503755054872,1,1,0.15738190570968502,-1.2031414090680974,45.86383940213998,44.093630919978224,-0.2638437484867619,-2.3904050780633197,37.670782707637606,1.6302961738279553
2010-02-16,87.91,159317500,1.571346042749866,1,1,87.97,0.0682516209759898,1,2,1.667668964241065,0.5288887618284995,52.28771978113801,47.41822319142884,0.12579330394910002,-2.151145759919694,35.609258172643145,1.6220548125375989
2010-02-17,88.33,168845100,0.4777613468319952,1,2,88.78,0.5094531869127117,1,2,2.1652131670868755,1.232021087616726,54.09916676570672,48.40092924950368,0.35741911248840896,-1.7869409818589657,33.28972337755185,1.5426993752424711
2010-02-18,88.85,193708600,0.5887014604324614,1,2,88.66,-0.21384355655599263,0,2,2.6645405805139215,1.9676251355647085,56.310776623264225,49.610079770129204,0.6818976734341972,-1.515924919251942,31.19308737244566,1.4956718913073215
2010-02-19,89.04,222684900,0.21384355655600373,1,2,88.72,-0.3593890386343279,0,2,2.4378458600338067,2.211482720818231,57.12368268991066,50.05357344781566,0.7900608499024668,-1.3717741583336516,29.526308749484876,1.4636887258170659
2010-02-22,89.05,132346900,0.011230907457315809,1,2,89.64,0.6625491297024277,1,2,2.026787044144747,2.1315151132851162,57.168853390160734,50.07755516484136,0.7210635495657166,-1.1519253161254601,27.987084469608877,1.4071139599805642
2010-02-23,87.97,207497000,-1.2128017967434013,0,0,89.88,2.171194725474579,1,1,0.42810662709057107,0.8911265812622421,50.92850657427979,47.5219814337342,0.3012541348212277,-0.7182076853112508,26.400890178769266,1.431450231224525
2010-02-24,88.78,176350700,0.9207684437876562,1,1,89.96,1.3291281820229761,1,2,1.020675215912055,1.7495000200565005,54.90435479527112,49.52540896098886,0.5723610457190416,-0.30352583915318904,24.927995480132488,1.393509476821259
2010-02-25,88.66,259634700,-0.135165577832852,0,2,90.24,1.782088878863064,1,1,0.5489021956087602,1.5729719202172034,54.2036900195703,49.236623737879384,0.5048720911593352,0.2149333684603624,24.195067315882408,1.417377000079347
2010-02-26,88.72,173589300,0.06767426122264997,1,2,91.53,3.1672678088367823,1,1,0.3778879007987565,1.540504040103451,54.51623647159365,49.38964456861641,0.48327129266191754,0.594523787545133,23.19055795884055,1.3804588937519757
2010-03-01,89.64,147709700,1.0369702434625871,1,1,91.54,2.119589468987071,1,1,1.065449010654466,2.381944959996324,59.122889821390636,51.70456965126577,0.7242097009262811,0.9598155091300775,21.5466786957907,1.3483824741009902
2010-03-02,89.88,160992400,0.2677376171352108,1,2,91.7,2.024922118380079,1,1,1.111461098861507,2.509124087591211,60.25381199731081,52.29487977251418,0.7212378241385885,1.164005831006241,20.546135579785915,1.3027664383617565
2010-03-03,89.96,150785000,0.08900756564307333,1,2,92.1,2.378835037794569,1,1,1.0162259277973977,2.5109251166579987,60.64467045723244,52.495595350952925,0.6896664295522275,1.3984791986547034,19.777403342862243,1.2689801953561988
2010-03-04,90.24,135770400,0.3112494441974256,1,2,92.49,2.493351063829796,1,1,1.172724622732446,2.698335021452367,62.051281043520135,53.21014125205137,0.702840344603402,1.501056742778474,19.06358055143312,1.2237580411483409
2010-03-05,91.53,176118800,1.4295212765957466,1,1,92.5,1.059761826723471,1,2,2.3333296065650626,3.7966932026944096,67.76718503812764,56.34727852847298,0.9539296256625501,1.647190588482389,19.440556016727474,1.2264636366155839
2010-03-08,91.54,114631200,0.010925379656945289,1,2,92.52,1.0705702425169106,1,2,2.0603844267047053,3.4508088804506896,67.80766454967286,56.37079453922025,0.856511428079761,1.6992901855822247,19.89542148704632,1.1668254444368715
2010-03-09,91.7,154556700,0.1747869783701006,1,2,93.26,1.701199563794975,1,1,1.8153555765280367,3.230890464933007,68.48952675699974,56.757320944520515,0.8416140019470242,1.6991588049630246,20.60212202404841,1.1516946684754374
2010-03-10,92.1,186088800,0.4362050163576825,1,2,93.81,1.8566775244299727,1,1,1.8839120767281814,3.3206192506169834,70.18948519542215,57.72824752905164,0.8666210543813542,1.7773083493070059,21.427803755377777,1.118299375127632
2010-03-11,92.49,160791100,0.42345276872963744,1,2,93.76,1.373121418531742,1,2,1.8836748182418648,3.366190571984159,71.78761648970055,58.666616504242896,0.9029146950004758,2.022941226665809,22.314143122313293,1.1035477517571897
2010-03-12,92.5,162074800,0.010811979673475136,1,2,93.29,0.8540540540540542,1,2,1.4721692007283727,3.0388094283295395,71.82931882776391,58.691000098807486,0.8234553278566964,2.172720606491079,23.424818404335465,1.075577382455825
2010-03-15,92.52,146816800,0.02162162162162584,1,2,93.79,1.3726761781236663,1,2,1.1744636178728094,2.7195363631821583,71.91872184504406,58.741481878742654,0.7725653755497497,2.213981785661406,23.792456231037402,1.0579811333481017
2010-03-16,93.26,168673000,0.7998270644185235,1,1,94.45,1.2760025734505742,1,2,1.6081234202039403,3.2345192499280606,75.07113892894736,60.589466219461826,0.8863688967658604,2.2937371825209363,24.720691747440277,1.0381861676616544
2010-03-17,93.81,177468100,0.5897490885695911,1,2,93.99,0.19187719859288244,1,2,1.7804250886957398,3.5293338630645033,77.12644333622814,61.90463659920854,0.916645352842198,2.287266566092983,26.07452429890021,1.0230984710354027
2010-03-18,93.76,196509100,-0.05329922183135993,0,2,93.83,0.07465870307166167,1,2,1.3391554349823018,3.1945629144539565,76.50888556594555,61.71048978101496,0.7961246383912575,2.3029378849620743,27.331654525255864,0.9931887481577621
2010-03-19,93.29,226641100,-0.5012798634812299,0,2,93.78,0.5252438632222134,1,2,0.6397186532465721,2.4376852970242657,70.77234084689063,59.87982125473867,0.6012335967757032,2.280836207263646,27.769928013371988,1.035616971160997
2010-03-22,93.79,184477800,0.5359631257369601,1,2,94.37,0.6184028147990128,1,2,0.9341167861216725,2.719397198462335,73.08440226283402,61.15125611959469,0.6618908844511177,2.296037840231747,27.825649801942195,1.0524768054124882
2010-03-23,94.45,182941600,0.703699754771292,1,1,94.44,-0.01058761249338458,0,2,1.3444638775925954,3.0764697536859824,75.80514213870781,62.76648293838177,0.7700497060233213,2.2218038698069145,28.3343075519008,1.0392901720753867
2010-03-24,93.99,196072600,-0.48703017469561294,0,2,94.12,0.13831258644536604,1,2,0.6467778896193975,2.283671503893164,70.4592569062114,60.935292142494404,0.5907783029575399,2.1835418556730786,27.851820500774732,1.0830122032608052
2010-03-25,93.83,223396300,-0.1702308756250659,0,2,94.76,0.9911542150698116,1,2,0.33147989734813277,1.8231144872490423,68.64590361426256,60.3007146271441,0.5062372473725812,2.1412283102139815,27.905930107417763,1.1093772329884444
2010-03-26,93.78,205808500,-0.05328786102525296,0,2,95.53,1.8660695244188563,1,1,0.1409533572526659,1.490211356774141,68.05645171163985,60.09789064728278,0.4606540560876804,2.0825981257107546,27.51974128312409,1.1098979793338322
2010-03-29,94.37,134513500,0.6291320110897836,1,2,95.76,1.4729257179188382,1,2,0.5722933296388025,1.8679936744045536,71.19916992956509,61.67532605332464,0.6134080517151225,2.025268170405109,27.242161280546505,1.0817004666472765
2010-03-30,94.44,145772500,0.07417611529085821,1,2,95.21,0.8153324862346434,1,2,0.520484082127892,1.6932726734325843,71.55671659129762,61.86083599751885,0.599675853615596,1.9710720758400344,27.204438306492964,1.059660668517838
